date,meal,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5
08/26/2024,"Turkey Bolognese",45,15,18,15,9
08/27/2024,"Quesadillas Al Pastor",17,9,20,12,18
08/28/2024,"Roasted Chicken",4,3,6,12,39
08/29/2024,"Niman Ranch Burgers",35,16,12,10,11
08/30/2024,"Green Curry with Chicken and Seasonal Vegetables",19,18,21,17,34
09/03/2024,"Zoe's Organic Grass-Fed All-Beef Hot Dogs",7,10,18,19,47
09/04/2024,"San Francisco Garlic Noodles with Chicken",8,14,21,12,20
09/05/2024,"Baked Potato Bar",47,12,11,4,7
09/06/2024,"Garam Masala Spiced Chicken",2,7,7,7,10
09/09/2024,"Spaghetti with Beef Meatballs",64,17,9,9,1
09/10/2024,"Steak Stir Fry with Seasonal Vegetables",7,3,15,18,48
09/11/2024,"Grilled Cheese Sandwiches",29,20,16,12,11
09/12/2024,"Chicken Kale Caesar Salad",5,7,12,15,56
09/13/2024,"Build Your Own Ramen Bar with Vande Rose Farms Pork Belly",42,21,12,24,7
09/16/2024,"Zoe's Pepperoni Pizza",20,11,18,16,22
09/17/2024,"Beef Taco Bar",34,22,24,12,13
09/18/2024,"Chicken Fettuccini Alfredo",9,10,22,29,41
09/19/2024,"Vande Rose Farms Pulled Pork Sandwich",1,6,9,15,40
09/20/2024,"Oven Fried Breaded Chicken",11,12,12,14,52
09/23/2024,"Cheese Quesadillas",13,16,20,18,36
09/24/2024,"Niman Ranch Burgers",4,8,15,18,65
09/25/2024,"Teriyaki Chicken Broccoli ""Rice Bowl""",6,10,13,14,66
09/26/2024,"Mac & Cheese",44,21,10,8,3
09/27/2024,"Chicken Caesar Wrap with Zoe's Applewood Smoked Bacon",57,21,13,8,3
09/30/2024,"Grilled Cheese Sandwiches",4,2,5,12,44
10/01/2024,"Coconut Curry",53,7,12,3,1
10/02/2024,"Penne with Painted Hills Farms Beef Bolognese",1,4,3,6,18
10/03/2024,"Frittata with Cheese",20,17,31,19,17
10/04/2024,"Chicken Fajita Bar with Sonoma Valley Tortillas",7,7,11,23,64
10/07/2024,"Zoe's Pepperoni Pizza",13,16,21,20,39
10/08/2024,"Steak Fried Rice with Seasonal Vegetables",9,11,17,19,42
10/14/2024,"Fusilli with Housemade Pesto Cream Sauce and Chicken",5,9,13,13,28
10/15/2024,"Beef & Broccoli ""Rice Bowl""",35,18,12,11,7
10/16/2024,"Kielbasa Sausages with Peppers & Onions",5,8,11,13,47
10/17/2024,"Niman Ranch Beef Stew",3,6,15,14,75
10/18/2024,"Chicken Tikka Masala",59,20,7,8,1
10/21/2024,"Baked Rigatoni with Roasted Tomato & Basil Marinara",19,17,19,12,11
10/22/2024,"Build Your Own Taco Salad Bar",72,17,16,2,11
10/23/2024,"Chicken Yakisoba",58,17,14,8,4
10/24/2024,"Painted Hills Farms Beef & Bean Chili Bar",9,10,12,19,38
10/25/2024,"Oven Fried Breaded Chicken",3,6,4,14,56
10/28/2024,"Zoe's Pepperoni Pizza",46,6,11,6,3
10/29/2024,"Roasted Chicken",52,15,9,6,4
10/30/2024,"Mac & Cheese",3,4,21,17,63
10/31/2024,"Beef Toastada Bar",42,27,18,17,10
11/01/2024,"BBQ Chicken Sandwich",36,17,11,9,14
11/11/2024,"Zoe's Organic Grass-Fed All-Beef Hot Dogs",13,6,18,17,45
11/12/2024,"San Francisco Garlic Noodles with Chicken",62,17,7,6,2
11/13/2024,"Beef Enchiladas",67,20,6,11,3
11/14/2024,"Baked Potato Bar",4,3,4,9,46
11/15/2024,"Garam Masala Spiced Chicken",38,13,7,6,2
11/18/2024,"Spaghetti with Beef Meatballs",69,24,21,6,3
11/19/2024,"Steak Stir Fry with Seasonal Vegetables",9,13,15,16,35
11/20/2024,"Chicken Kale Caesar Salad",49,13,7,5,4
11/21/2024,"Acre Harvest Meal",38,12,23,7,16
11/22/2024,"Grilled Cheese Sandwiches",25,20,21,13,26
12/02/2024,"Zoe's Pepperoni Pizza",6,9,7,13,60
12/03/2024,"Beef Taco Bar",19,13,14,9,13
12/04/2024,"Chicken Fettuccini Alfredo",214,23,40,1999,10004
12/05/2024,"Vande Rose Farms Pulled Pork Sandwich",5,4,13,18,55
12/06/2024,"Oven Fried Breaded Chicken",7,14,22,24,45
